# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
jin yong 	禁用	c=3 d=0.000192452 t=11615
jin yong yu 	僅用於	c=1 d=8.92732e-19 t=11615
jin you 	僅有	c=2 d=0.546074 t=11615
jin zai 	僅在	c=1 d=3.60154e-16 t=11615
jin zai 	盡在	c=1 d=3.58358e-16 t=11615
jin zhan 	進展	c=0 d=2.68303e-05 t=11615
jin zhan kuai 	進展快	c=1 d=0.000248517 t=11615
jin zhan wei 	進展爲	c=1 d=5.71598e-09 t=11615
jin zhan xing 	進展性	c=1 d=2.11261e-05 t=11615
jin zhang 	緊張	c=1 d=9.8307e-07 t=11615
jin zhang su 	緊張素	c=1 d=9.87998e-06 t=11615
jing 	徑	c=1 d=1.23473e-10 t=11615
jing 	經	c=3 d=0.000792752 t=11615
jing 	肼	c=2 d=0.362402 t=11615
jing an suan 	精氨酸	c=1 d=3.09187e-15 t=11615
jing bu 	頸部	c=1 d=1.07047e-07 t=11615
jing dian 	經典	c=1 d=3.51082e-10 t=11615
jing gao 	警告	c=1 d=6.22097e-05 t=11615
jing guo 	經過	c=2 d=1.66789e-12 t=11615
jing ji 	荊棘	c=2 d=0.000334015 t=11615
jing jing mai 	頸靜脈	c=7 d=4.28373e-05 t=11615
jing lu 	徑路	c=2 d=2.70453e-10 t=11615
jing mai 	靜脈	c=11 d=0.0095616 t=11615
jing mai qi 	靜脈期	c=1 d=5.85053e-18 t=11615
jing mai qu zhang 	靜脈曲張	c=1 d=0.0391639 t=11615
jing mai ya 	靜脈壓	c=2 d=2.61568e-06 t=11615
jing que du 	精確度	c=1 d=8.57582e-17 t=11615
jing ran 	竟然	c=3 d=0.00769163 t=11615
jing shen 	精神	c=1 d=0.00122477 t=11615
jing tai 	靜態	c=4 d=0.165511 t=11615
jing xiang 	鏡像	c=1 d=1.5037e-05 t=11615
jing zheng 	競爭	c=1 d=0.634448 t=11615
jing zhun 	精準	c=1 d=1.12826e-08 t=11615
jiong po 	窘迫	c=0 d=2.85862e-05 t=11615
jiu 	就	c=8 d=0.0124629 t=11615
jiu jing xing 	酒精性	c=1 d=1.22561e-11 t=11615
jiu shi 	就是	c=3 d=0.0167117 t=11615
jiu xing 	就行	c=1 d=6.54104e-07 t=11615
jiu zheng 	糾正	c=1 d=0.0808629 t=11615
ju 	具	c=2 d=2.136e-15 t=11615
ju bu 	局部	c=8 d=0.111649 t=11615
ju da 	巨大	c=1 d=0.474734 t=11615
ju jiao 	聚焦	c=3 d=2.32816e-16 t=11615
ju li 	距離	c=8 d=2.02559e-10 t=11615
ju shi xi bao 	巨噬細胞	c=1 d=0.231078 t=11615
ju shou 	居首	c=1 d=4.08886e-09 t=11615
ju tang 	聚糖	c=1 d=1.70536e-15 t=11615
ju xian 	侷限	c=1 d=3.76667e-14 t=11615
ju xian xing 	侷限性	c=1 d=0.00106477 t=11615
ju you 	具有	c=15 d=0.68731 t=11615
ju you zhu dong 	具有主動	c=1 d=1.12378e-20 t=11615
ju zhen 	矩陣	c=1 d=2.57676e-18 t=11615
ju zi 	句子	c=1 d=0.0051953 t=11615
jue de 	覺得	c=0 d=0.000637737 t=11615
jue dui 	絕對	c=4 d=0.00783258 t=11615
jue dui zhi 	絕對值	c=1 d=0.024234 t=11615
jue you 	覺有	c=1 d=1.07138e-17 t=11615
jun 	均	c=1 d=0.00130051 t=11615
jun 	菌	c=2 d=0.335165 t=11615
jun qun 	菌羣	c=1 d=1.57886e-20 t=11615
jun tuan 	軍團	c=1 d=0.000242381 t=11615
jun you 	均有	c=3 d=7.52904e-06 t=11615
jun yun 	均勻	c=5 d=1.22862e-15 t=11615
jun zhi 	均質	c=0 d=3.24255e-17 t=11615
jun zhi ti 	均質體	c=2 d=6.78905e-16 t=11615
ka 	喀	c=1 d=0.000518277 t=11615
ka te 	卡特	c=1 d=0.00362464 t=11615
ka xue 	咯血	c=5 d=0.012771 t=11615
kai 	開	c=1 d=6.52304e-05 t=11615
kai ban mo 	開瓣膜	c=1 d=0.000655574 t=11615
kai ban yin 	開瓣音	c=1 d=1.84263e-14 t=11615
kai fang 	開放	c=3 d=0.738975 t=11615
kai qi 	開啓	c=3 d=0.000173384 t=11615
kai shi 	開始	c=1 d=0.00065886 t=11615
kan 	看	c=3 d=0.0593481 t=11615
kan cheng 	看成	c=1 d=4.29178e-20 t=11615
kan hao 	看好	c=1 d=1.59668e-05 t=11615
kan kan 	看看	c=1 d=0.000164106 t=11615
kan xue ya 	看血壓	c=1 d=3.98655e-05 t=11615
kang 	康	c=1 d=0.000281606 t=11615
kang 	抗	c=3 d=0.351731 t=11615
kang jin 	亢進	c=7 d=6.42081e-09 t=11615
kang jun 	抗菌	c=1 d=0.00214418 t=11615
kang ning 	抗凝	c=3 d=4.14932e-05 t=11615
kang sheng su 	抗生素	c=1 d=0.00213348 t=11615
kang yan 	抗炎	c=1 d=6.92758e-06 t=11615
kao jin 	靠近	c=1 d=0.00104368 t=11615
kao lv 	考慮	c=1 d=4.14064e-10 t=11615
kao yan 	考研	c=2 d=2.96148e-08 t=11615
ke 	可	c=40 d=1.51844 t=11615
ke bu 	可不	c=1 d=1.86501e-09 t=11615
ke cha 	可查	c=3 d=1.69634e-10 t=11615
ke cheng 	可呈	c=2 d=0.0018934 t=11615
ke chu xian 	可出現	c=1 d=0.00172074 t=11615
ke dou 	蝌蚪	c=1 d=9.88839e-16 t=11615
ke fa xian 	可發現	c=1 d=1.20383e-06 t=11615
ke fen 	可分	c=1 d=3.23418e-15 t=11615
ke fen wei 	可分爲	c=4 d=4.98892e-18 t=11615
ke fu 	克服	c=1 d=1.83724e-09 t=11615
ke fu 	客服	c=1 d=1.81896e-09 t=11615
ke guan shang 	客觀上	c=1 d=2.07149e-09 t=11615
ke jian 	可見	c=3 d=3.12082e-07 t=11615
ke kao 	可靠	c=2 d=3.33044e-07 t=11615
ke lei 	克雷	c=0 d=1.04117e-05 t=11615
ke lei bo 	克雷伯	c=3 d=0.000368627 t=11615
ke li 	顆粒	c=2 d=0.00013845 t=11615
ke ming xian gan zhi 	可明顯感知	c=1 d=5.81937e-14 t=11615
ke neng 	可能	c=3 d=0.00261214 t=11615
ke neng wei 	可能爲	c=1 d=0.0262523 t=11615
ke ni 	可逆	c=1 d=2.47917e-05 t=11615
ke ni xing 	可逆性	c=1 d=0.0202419 t=11615
ke shi 	可使	c=3 d=1.45693 t=11615
ke sou 	咳嗽	c=7 d=0.0181442 t=11615
ke tan 	咳痰	c=5 d=0.00524806 t=11615
ke tan xue 	咳痰血	c=1 d=0.00218749 t=11615
ke wen ji 	可聞及	c=2 d=1.90383e-13 t=11615
ke wu 	可無	c=2 d=0.857404 t=11615
ke xue 	喀血	c=1 d=0.00133343 t=11615
ke yi 	可以	c=8 d=0.112398 t=11615
ke yin 	可因	c=2 d=3.37259e-08 t=11615
ke yong yu 	可用於	c=1 d=7.31927e-06 t=11615
ke you 	可有	c=5 d=1.21913 t=11615
ke you 	可由	c=1 d=8.44239e-09 t=11615
ke yu 	可於	c=1 d=0.0464212 t=11615
ke yu 	可與	c=1 d=2.68611e-07 t=11615
ke zai 	可在	c=2 d=0.733447 t=11615
ke zhi 	可致	c=2 d=1.93688e-15 t=11615
keng 	坑	c=1 d=0.349938 t=11615
kong 	空	c=1 d=2.06291e-19 t=11615
kong dong 	空洞	c=6 d=0.0069974 t=11615
kong jian 	空間	c=6 d=2.28753e-16 t=11615
kong jian fen bian li 	空間分辨力	c=1 d=1.57832e-16 t=11615
kong qi 	空氣	c=1 d=0.506617 t=11615
kong zhi 	控制	c=4 d=0.183086 t=11615
kou 	口	c=0 d=7.92752e-05 t=11615
kou 	釦	c=1 d=0.000311223 t=11615
kou chun 	口脣	c=1 d=1.22582e-13 t=11615
kou fu 	口服	c=2 d=5.17034e-18 t=11615
kou ji 	叩擊	c=4 d=0.187653 t=11615
kou qiang 	口腔	c=1 d=0.000617396 t=11615
kou zhen 	叩診	c=2 d=0.663982 t=11615
ku 	庫	c=2 d=0.126186 t=11615
kuai 	塊	c=1 d=2.95331e-05 t=11615
kuai 	快	c=8 d=0.124865 t=11615
kuai fan ying 	快反應	c=1 d=1.24714e-10 t=11615
kuai jie jian 	快捷鍵	c=3 d=0.000139238 t=11615
kuai jing lu 	快徑路	c=1 d=1.37143e-10 t=11615
kuai ruo 	快弱	c=1 d=2.80345e-10 t=11615
kuai su 	快速	c=10 d=0.286505 t=11615
kuan 	寬	c=4 d=1.63371e-10 t=11615
kuan 	款	c=0 d=2.79859e-20 t=11615
kuan du 	寬度	c=5 d=1.66671e-10 t=11615
kuan rong 	寬容	c=1 d=2.82672e-19 t=11615
kuan rong du 	款溶度	c=1 d=2.81262e-19 t=11615
kui 	喹	c=1 d=0.000151489 t=11615
kui ning 	奎寧	c=1 d=7.95887e-21 t=11615
kui yang 	潰瘍	c=1 d=0.0380064 t=11615
kun nan 	困難	c=14 d=0.0305514 t=11615
kuo 	擴	c=1 d=0.000508015 t=11615
kuo da 	擴大	c=3 d=0.0652193 t=11615
kuo hao 	括號	c=3 d=0.000195615 t=11615
kuo hao nei 	括號內	c=1 d=6.70548e-05 t=11615
kuo san 	擴散	c=4 d=0.865022 t=11615
kuo xin bing 	擴心病	c=2 d=9.18771e-09 t=11615
kuo zhang 	擴張	c=21 d=0.0294896 t=11615
la 	啦	c=1 d=1.45925e-05 t=11615
la ji 	垃圾	c=1 d=0.00860854 t=11615
la si 	拉絲	c=1 d=0.000267872 t=11615
lai 	來	c=2 d=8.35555e-05 t=11615
lai 	賴	c=1 d=7.49538e-21 t=11615
lai cou 	來湊	c=1 d=7.4684e-08 t=11615
lai zi 	來自	c=3 d=0.0176532 t=11615
lan 	藍	c=3 d=0.218894 t=11615
lan 	蘭	c=1 d=0.0958472 t=11615
lan ji yin 	藍基因	c=1 d=0.150318 t=11615
lan zi se 	藍紫色	c=3 d=1.76169e-13 t=11615
lang chuang 	狼瘡	c=1 d=8.50523e-08 t=11615
lao 	銠	c=1 d=6.3542e-19 t=11615
lao lei 	勞累	c=1 d=1.24392e-09 t=11615
lao li 	勞力	c=3 d=7.74967e-07 t=11615
lao nian 	老年	c=2 d=0.0400349 t=11615
lao nian fei qi zhong 	老年肺氣腫	c=1 d=0.0407622 t=11615
lao nian xing 	老年性	c=1 d=2.26033e-06 t=11615
le 	了	c=15 d=0.0282125 t=11615
lei 	類	c=13 d=0.843665 t=11615
lei di 	淚滴	c=2 d=0.000326578 t=11615
lei jian 	肋間	c=8 d=0.00524669 t=11615
lei si 	類似	c=3 d=0.21814 t=11615
lei xing 	類型	c=4 d=7.01412e-05 t=11615
lei ye 	淚液	c=0 d=2.01718e-21 t=11615
leng re 	冷熱	c=1 d=0.000265207 t=11615
li 	力	c=9 d=0.353455 t=11615
li 	理	c=5 d=7.59831e-05 t=11615
li 	立	c=1 d=0.000808767 t=11615
li 	粒	c=1 d=0.000953854 t=11615
li fu ping 	利福平	c=1 d=7.20148e-21 t=11615
li hua 	理化	c=6 d=0.0650509 t=11615
li hua xing zhi 	理化性質	c=1 d=0.65377 t=11615
li ji 	立即	c=1 d=5.62208e-20 t=11615
li ke 	立刻	c=1 d=4.51183e-20 t=11615
li liang 	力量	c=3 d=0.000200304 t=11615
li niao 	利尿	c=4 d=0.184022 t=11615
li niao ji 	利尿劑	c=7 d=2.03227e-05 t=11615
li sha 	李殺	c=2 d=0.000277468 t=11615
li ti jiao 	立體角	c=1 d=4.19522e-17 t=11615
li xi bao 	粒細胞	c=1 d=0.0114473 t=11615
li xin 	離心	c=0 d=0.0128093 t=11615
li xin hou 	離心後	c=1 d=0.128735 t=11615
li xing 	梨形	c=1 d=0.00141589 t=11615
li yong 	利用	c=3 d=8.89889e-18 t=11615
li zi 	離子	c=6 d=0.0878095 t=11615
li zi shu liang 	離子數量	c=1 d=4.63486e-13 t=11615
li zi xing 	離子型	c=1 d=0.882497 t=11615
lian 	聯	c=4 d=0.00617465 t=11615
lian 	連	c=2 d=3.18332e-05 t=11615
lian he 	聯合	c=1 d=0.346456 t=11615
lian jia 	廉價	c=1 d=0.028297 t=11615
lian jie 	連接	c=2 d=1.00737e-14 t=11615
lian jie 	鏈接	c=6 d=0.0505395 t=11615
lian mei su 	鏈黴素	c=1 d=0.396531 t=11615
lian qiu jun 	鏈球菌	c=1 d=0.000130387 t=11615
lian xi 	聯繫	c=1 d=1.92279e-15 t=11615
lian xu 	連續	c=4 d=0.0237541 t=11615
lian xu xing 	連續性	c=1 d=0.00037447 t=11615
liang 	兩	c=2 d=1.38818e-09 t=11615
liang 	良	c=1 d=0.036334 t=11615
liang 	量	c=11 d=0.0410529 t=11615
liang bian 	兩邊	c=1 d=5.5777e-15 t=11615
liang ce 	兩側	c=6 d=3.54097e-07 t=11615
liang ci 	兩次	c=1 d=0.00199922 t=11615
liang dian 	亮點	c=1 d=0.0303487 t=11615
liang duo 	量多	c=1 d=5.18983e-20 t=11615
liang ge 	兩個	c=9 d=0.0110701 t=11615
liang hao 	良好	c=1 d=2.49933e-12 t=11615
liang hua 	量化	c=1 d=1.13196e-17 t=11615
liang lei 	兩類	c=1 d=2.38318e-11 t=11615
liang nian 	兩年	c=1 d=5.10735e-08 t=11615
liang xiao 	兩小	c=0 d=7.45546e-18 t=11615
liang xiao dian 	兩小點	c=1 d=7.49283e-17 t=11615
liang xing 	兩性	c=0 d=4.40957e-16 t=11615
liang xing jie li 	兩性解離	c=1 d=4.43167e-15 t=11615
liang zhe 	兩者	c=2 d=2.84778e-06 t=11615
liang zhong 	兩種	c=4 d=0.621885 t=11615
liao xiao 	療效	c=7 d=0.0885117 t=11615
lie kong 	裂孔	c=1 d=0.0383884 t=11615
lin chuang 	臨牀	c=18 d=0.30163 t=11615
lin chuang yi yi 	臨牀意義	c=1 d=1.61883e-20 t=11615
lin jin 	臨近	c=1 d=4.23811e-19 t=11615
lin jin 	鄰近	c=1 d=4.82566e-17 t=11615
lin suan 	磷酸	c=0 d=7.87432e-14 t=11615
lin zhi 	磷脂	c=1 d=9.47452e-13 t=11615
ling ji 	零級	c=1 d=3.19537e-20 t=11615
ling yi 	另一	c=0 d=7.34321e-16 t=11615
ling yi fen zi 	另一分子	c=1 d=7.38002e-15 t=11615
ling yi ge 	另一個	c=2 d=5.26824e-12 t=11615
ling yi lei 	另一類	c=1 d=2.68703e-11 t=11615
liu 	流	c=1 d=5.08447e-14 t=11615
liu 	瘤	c=0 d=1.92744e-15 t=11615
liu 	硫	c=1 d=5.1578e-06 t=11615
liu chang 	流暢	c=0 d=0.000514361 t=11615
liu chang du 	流暢度	c=3 d=0.0174203 t=11615
liu chu 	流出	c=0 d=1.01843e-10 t=11615
liu chu dao 	流出道	c=1 d=1.02354e-09 t=11615
liu di 	瘤蒂	c=1 d=2.02626e-14 t=11615
liu gan 	流感	c=1 d=0.000110003 t=11615
liu jing 	流經	c=1 d=6.86566e-18 t=11615
liu lan 	瀏覽	c=1 d=4.77276e-05 t=11615
liu liang 	流量	c=2 d=0.612866 t=11615
liu su 	流速	c=3 d=0.0453953 t=11615
liu suan 	硫酸	c=1 d=4.32446e-21 t=11615
liu suan bei 	硫酸鋇	c=1 d=8.8828e-19 t=11615
liu xiang 	流向	c=2 d=6.62514e-10 t=11615
liu xing xing 	流行性	c=1 d=0.00286554 t=11615
long 	隆	c=2 d=0.934232 t=11615
long qi 	隆起	c=3 d=6.90567e-13 t=11615
lou 	瘺	c=0 d=5.48047e-15 t=11615
lu 	路	c=1 d=1.24092e-10 t=11615
lu gu 	顱骨	c=2 d=0.483434 t=11615
lu nei 	顱內	c=1 d=0.10383 t=11615
luo 	落	c=0 d=4.76449e-15 t=11615
luo an suan 	酪氨酸	c=2 d=1.20847e-14 t=11615
luo ma 	羅馬	c=1 d=3.11276e-06 t=11615
luo xuan 	螺旋	c=3 d=1.35096e-17 t=11615
luo yin 	囉音	c=3 d=2.73102e-05 t=11615
lv 	律	c=8 d=0.0280414 t=11615
lv 	氯	c=1 d=1.38809e-05 t=11615
lv 	率	c=7 d=0.0562705 t=11615
lv chang shu 	率常數	c=1 d=2.20715e-20 t=11615
lv guo 	濾過	c=4 d=6.07086e-12 t=11615
lv guo lv 	濾過率	c=3 d=6.91654e-12 t=11615
lv hua wu 	氯化物	c=5 d=0.371403 t=11615
lv mei su 	氯黴素	c=1 d=7.91917e-21 t=11615
lv sheng gao 	率升高	c=1 d=1.26969e-15 t=11615
lve 	略	c=0 d=6.81378e-18 t=11615
ma 	嗎	c=2 d=0.0112715 t=11615
ma fei 	嗎啡	c=1 d=4.41797e-08 t=11615
mai 	脈	c=6 d=0.0493938 t=11615
mai bo 	脈搏	c=5 d=0.00274089 t=11615
mai bo chong ji 	脈搏衝擊	c=1 d=6.05686e-14 t=11615
mai luo mo 	脈絡膜	c=1 d=0.00882647 t=11615
mai lv 	脈律	c=2 d=0.00466974 t=11615
mai ya 	脈壓	c=1 d=1.83693e-07 t=11615
man 	慢	c=6 d=0.263534 t=11615
man 	滿	c=1 d=3.89885e-08 t=11615
man de 	慢的	c=1 d=5.45592e-20 t=11615
man pao 	慢跑	c=2 d=0.000160428 t=11615
man xing 	慢性	c=17 d=0.0514752 t=11615
man xing gan ran 	慢性感染	c=1 d=6.98389e-13 t=11615
mao 	貓	c=1 d=0.000735471 t=11615
mao xi 	毛細	c=3 d=0.000803404 t=11615
mao xi guan 	毛細管	c=1 d=1.46025e-13 t=11615
mao xi xue guan 	毛細血管	c=2 d=0.0335129 t=11615
mao xi xue guan bi 	毛細血管壁	c=1 d=0.332871 t=11615
mei 	每	c=1 d=0.00198925 t=11615
mei 	沒	c=4 d=8.20907e-07 t=11615
mei 	酶	c=12 d=1.01809e-05 t=11615
mei ci 	每次	c=1 d=1.76214e-18 t=11615
mei cu 	酶促	c=1 d=1.68839e-15 t=11615
mei de 	沒得	c=1 d=5.50513e-08 t=11615
mei de 	酶的	c=1 d=5.22935e-21 t=11615
mei liang 	酶量	c=2 d=1.24967e-20 t=11615
mei nian 	每年	c=1 d=1.73833e-05 t=11615
mei su 	黴素	c=1 d=0.000263884 t=11615
mei tu 	美圖	c=1 d=2.86602e-05 t=11615
mei xue 	沒學	c=0 d=1.7661e-16 t=11615
mei xue guo 	沒學過	c=1 d=1.77496e-15 t=11615
mei yi ci 	每一次	c=1 d=0.0547488 t=11615
mei yi ge 	每一個	c=1 d=5.0748e-21 t=11615
mei yong 	沒用	c=0 d=0.00116203 t=11615
mei you 	沒有	c=2 d=0.0337087 t=11615
men 	們	c=1 d=4.84489e-05 t=11615
men 	門	c=1 d=1.07324e-08 t=11615
men jing mai 	門靜脈	c=1 d=1.51592e-12 t=11615
men mai 	門脈	c=3 d=4.32016e-06 t=11615
mi 	咪	c=1 d=7.84038e-21 t=11615
mi 	米	c=0 d=5.10648e-07 t=11615
mi du 	密度	c=15 d=5.7979e-16 t=11615
mi ma 	密碼	c=1 d=0.0497871 t=11615
mi zou 	迷走	c=1 d=5.04434e-09 t=11615
mi zuo 	咪唑	c=1 d=4.15277e-15 t=11615
mian fei 	免費	c=1 d=5.53273e-08 t=11615
mian fei de 	免費的	c=1 d=5.56046e-08 t=11615
mian ji 	面積	c=4 d=2.05952e-19 t=11615
mian shou 	免受	c=1 d=0.100259 t=11615
mian yi 	免疫	c=2 d=0.195894 t=11615
mian yi xue 	免疫學	c=1 d=0.00763509 t=11615
mian zao 	免遭	c=1 d=1.09001e-14 t=11615
miao 	秒	c=4 d=0.00353515 t=11615
mie jun 	滅菌	c=1 d=0.0569831 t=11615
min gan 	敏感	c=1 d=1.60245e-18 t=11615
min gan xing 	敏感性	c=2 d=2.17174e-06 t=11615
ming 	名	c=1 d=6.695e-16 t=11615
ming 	鳴	c=1 d=0.0135009 t=11615
ming ci 	名詞	c=19 d=0.0196253 t=11615
ming ci jie shi 	名詞解釋	c=1 d=3.09134e-13 t=11615
ming ling 	命令	c=4 d=0.2729 t=11615
ming nian 	明年	c=1 d=4.88261e-08 t=11615
ming que 	明確	c=3 d=1.28855e-06 t=11615
ming xian 	明顯	c=14 d=0.101133 t=11615
ming xian shang sheng 	明顯上升	c=1 d=4.32005e-09 t=11615
ming xiang 	冥想	c=3 d=5.32401e-13 t=11615
mo 	末	c=3 d=0.00425356 t=11615
mo 	膜	c=3 d=0.348649 t=11615
mo ca 	摩擦	c=2 d=0.00118894 t=11615
mo ca yin 	摩擦音	c=2 d=6.04879e-07 t=11615
mo duan 	末端	c=2 d=2.22756e-12 t=11615
mo hu 	模糊	c=1 d=0.00158844 t=11615
mo kong 	膜孔	c=0 d=9.6725e-22 t=11615
mo kuai 	模塊	c=2 d=0.262674 t=11615
mo ni 	模擬	c=3 d=3.43041e-17 t=11615
mo qi 	末期	c=2 d=3.70972e-08 t=11615
mo ren 	默認	c=6 d=0.000574877 t=11615
mo xing 	模型	c=3 d=9.80135e-14 t=11615
mo xing de 	模型的	c=1 d=3.7311e-20 t=11615
mo xing ti jian 	模型體件	c=1 d=9.93627e-14 t=11615
mou 	某	c=1 d=0.0095616 t=11615
mou xie 	某些	c=0 d=1.83437e-21 t=11615
mou yi 	某一	c=3 d=3.16906e-11 t=11615
mou zhong 	某種	c=2 d=3.62773e-13 t=11615
mu ba 	鉬靶	c=1 d=6.29098e-19 t=11615
mu biao 	目標	c=3 d=1.52554e-15 t=11615
mu di 	目的	c=1 d=0.895834 t=11615
mu lu 	目錄	c=2 d=0.120032 t=11615
mu qian 	目前	c=4 d=3.86433e-11 t=11615
na 	納	c=2 d=0.00487365 t=11615
na 	那	c=1 d=4.70171e-05 t=11615
na 	鈉	c=4 d=1.08203e-05 t=11615
na ge 	那個	c=3 d=0.0002077 t=11615
na me 	那麼	c=2 d=0.00772949 t=11615
na me kuai 	那麼快	c=0 d=1.72221e-14 t=11615
na xie 	哪些	c=3 d=0.0589964 t=11615
nai 	耐	c=1 d=7.53295e-21 t=11615
nai shou xing 	耐受性	c=1 d=0.0893673 t=11615
nan chong 	南充	c=1 d=0.231078 t=11615
nan dao 	難道	c=1 d=5.18454e-08 t=11615
nan yi 	難以	c=2 d=1.37478e-06 t=11615
nang zhong 	囊腫	c=2 d=0.00311976 t=11615
nang zhuang 	囊狀	c=4 d=0.0240282 t=11615
nao 	腦	c=3 d=0.0987662 t=11615
nao ji ye 	腦脊液	c=11 d=0.725666 t=11615
nao mo yan 	腦膜炎	c=1 d=0.0822307 t=11615
nao nei 	腦內	c=1 d=0.103312 t=11615
nao qu 	腦區	c=2 d=0.234803 t=11615
nao shi 	腦室	c=1 d=0.00831246 t=11615
nao zu zhi 	腦組織	c=1 d=0.105928 t=11615
ne 	呢	c=0 d=0.000637737 t=11615
nei 	內	c=18 d=0.798379 t=11615
nei bi 	內壁	c=1 d=0.00165327 t=11615
nei bu 	內部	c=2 d=1.37073e-05 t=11615
nei ce 	內側	c=1 d=0.00047843 t=11615
nei ce chu 	內側處	c=1 d=1.35404e-07 t=11615
nei de 	內的	c=1 d=7.37876e-13 t=11615
nei fen mi 	內分泌	c=1 d=8.63377e-08 t=11615
nei jing 	內徑	c=2 d=7.52906e-07 t=11615
nei ke xue 	內科學	c=1 d=0.149569 t=11615
nei rong 	內容	c=1 d=0.000202454 t=11615
nei sheng 	內生	c=5 d=1.48131e-05 t=11615
nei xian 	內陷	c=1 d=0.000523486 t=11615
nei yuan 	內源	c=0 d=0.0524663 t=11615
nei yuan xing 	內源性	c=2 d=0.527292 t=11615
nei zhi wang 	內質網	c=1 d=7.45292e-13 t=11615
neng 	能	c=16 d=0.000204319 t=11615
neng cu jin 	能促進	c=1 d=6.74828e-21 t=11615
neng gou 	能夠	c=2 d=3.75631e-11 t=11615
neng jiang 	能將	c=1 d=3.52051e-13 t=11615
neng li 	能力	c=8 d=0.115903 t=11615
neng liang 	能量	c=3 d=1.73025e-09 t=11615
neng pu 	能譜	c=1 d=2.99376e-18 t=11615
neng yong 	能用	c=0 d=0.000562801 t=11615
ni 	你	c=4 d=0.0253755 t=11615
ni 	逆	c=1 d=1.3783e-10 t=11615
ni bu 	你不	c=1 d=6.75769e-08 t=11615
ni ji xu 	你繼續	c=0 d=0.00120342 t=11615
ni liu 	逆流	c=1 d=9.52201e-13 t=11615
ni men 	你們	c=3 d=0.000637737 t=11615
ni shi zhen 	逆時針	c=1 d=3.49331e-10 t=11615
ni xing 	逆行	c=1 d=1.45623e-10 t=11615
nian du 	粘度	c=1 d=0.0776922 t=11615
nian lian 	粘連	c=3 d=0.0788664 t=11615
nian ling 	年齡	c=2 d=9.42566e-11 t=11615
nian mo 	粘膜	c=1 d=1.23196e-13 t=11615
nian ye 	粘液	c=2 d=0.0443785 t=11615
nian ye 	黏液	c=0 d=1.92744e-15 t=11615
nian ye liu 	黏液瘤	c=1 d=1.9371e-14 t=11615
niao 	尿	c=12 d=0.0419964 t=11615
niao 	鳥	c=0 d=3.01553e-16 t=11615
niao an suan 	鳥氨酸	c=1 d=3.03065e-15 t=11615
niao dan yuan 	尿膽原	c=3 d=5.18497e-11 t=11615
niao du zheng 	尿毒症	c=2 d=1.38624e-11 t=11615
niao gan 	尿酐	c=1 d=7.83504e-13 t=11615
niao lu 	尿路	c=2 d=2.07608e-18 t=11615
niao nei 	尿內	c=2 d=8.66295e-11 t=11615
niao nei niao dan yuan 	尿內尿膽原	c=1 d=5.0959e-11 t=11615
niao su 	尿素	c=4 d=1.0073e-11 t=11615
niao su dan 	尿素氮	c=2 d=1.397e-11 t=11615
niao suan 	尿酸	c=2 d=0.0381014 t=11615
niao zhong 	尿中	c=1 d=4.45313e-13 t=11615
ning 	凝	c=4 d=0.526667 t=11615
ning gu 	凝固	c=1 d=0.00990218 t=11615
ning meng 	檸檬	c=0 d=0.0132655 t=11615
ning meng se 	檸檬色	c=1 d=0.13332 t=11615
niu bi 	牛逼	c=1 d=4.58562e-05 t=11615
nong 	弄	c=1 d=4.89359e-05 t=11615
nong 	膿	c=10 d=0.00690132 t=11615
nong du 	濃度	c=16 d=0.396304 t=11615
nong mi 	濃密	c=1 d=0.00158052 t=11615
nong qiang 	膿腔	c=2 d=0.00158638 t=11615
nong suo 	濃縮	c=1 d=4.79995e-13 t=11615
nong tan 	膿痰	c=1 d=0.00251621 t=11615
nong xing 	膿性	c=1 d=5.46353e-07 t=11615
nong zhong 	膿腫	c=12 d=0.0133258 t=11615
nu zhang 	怒張	c=6 d=4.21855e-05 t=11615
nuo 	諾	c=1 d=0.000152248 t=11615
ou lian 	偶聯	c=1 d=5.31488e-06 t=11615
pa 	帕	c=0 d=5.10648e-07 t=11615
pa 	怕	c=3 d=1.45041e-09 t=11615
pai 	排	c=1 d=3.02784e-08 t=11615
pai chu 	排出	c=7 d=0.234454 t=11615
pai chu 	排除	c=1 d=0.0278757 t=11615
pai chu duo shi 	排出多時	c=1 d=1.67649e-20 t=11615
pai chu liang 	排出量	c=1 d=1.65981e-20 t=11615
pai ji 	拍擊	c=1 d=1.65429e-14 t=11615
pai ji yang 	拍擊樣	c=1 d=1.46403e-14 t=11615
pai liang 	排量	c=0 d=8.91973e-10 t=11615
pai ru 	排入	c=1 d=1.57778e-12 t=11615
pai xie 	排泄	c=8 d=0.951229 t=11615
pai xie lv 	排泄率	c=1 d=1.76244e-20 t=11615
pai xie tu jing 	排泄途徑	c=1 d=1.87143e-20 t=11615
pai xue liang 	排血量	c=1 d=2.40051e-08 t=11615
pan 	袢	c=2 d=4.48665e-06 t=11615
pan duan 	判斷	c=2 d=0.0267827 t=11615
pang lu 	旁路	c=1 d=9.9586e-11 t=11615
pao bu 	跑步	c=1 d=3.98655e-05 t=11615
